,ERC-20 Token,Ticker,Look Up Name,CoinMarketCap URL,Market Cap (2018-08-08)
69,KickCoin,KICK,kickcoin,https://coinmarketcap.com/currencies/kickcoin/,"$36,675,200"
70,Scry.info,DDD,scry.info,https://coinmarketcap.com/currencies/scry.info/,"$36,586,700"
71,Aragon,ANT,aragon,https://coinmarketcap.com/currencies/aragon/,"$36,370,100"
72,Bluzelle,BLZ,bluzelle,https://coinmarketcap.com/currencies/bluzelle/,"$33,989,600"
73,Cube,AUTO,cube,https://coinmarketcap.com/currencies/cube/,"$33,847,400"
74,Enjin Coin,ENJ,enjin-coin,https://coinmarketcap.com/currencies/enjin-coin/,"$33,798,200"
75,SingularityNET,AGI,singularitynet,https://coinmarketcap.com/currencies/singularitynet/,"$33,735,400"
76,Bread,BRD,bread,https://coinmarketcap.com/currencies/bread/,"$32,372,100"
77,C20,C20,c20,https://coinmarketcap.com/currencies/c20/,"$32,316,300"
78,Nucleus Vision,NCASH,nucleus-vision,https://coinmarketcap.com/currencies/nucleus-vision/,"$32,148,800"
79,All Sports,SOC,all-sports,https://coinmarketcap.com/currencies/all-sports/,"$31,102,700"
80,Request Network,REQ,request-network,https://coinmarketcap.com/currencies/request-network/,"$30,406,300"
81,SmartMesh,SMT,smartmesh,https://coinmarketcap.com/currencies/smartmesh/,"$30,201,300"
82,iExec RLC,RLC,iexec-rlc,https://coinmarketcap.com/currencies/iexec-rlc/,"$29,970,700"
83,MediShares,MDS,medishares,https://coinmarketcap.com/currencies/medishares/,"$29,764,200"
84,Cindicator,CND,cindicator,https://coinmarketcap.com/currencies/cindicator/,"$28,757,300"
85,DEW,DEW,dew,https://coinmarketcap.com/currencies/dew/,"$28,522,900"
86,Bottos,BTO,bottos,https://coinmarketcap.com/currencies/bottos/,"$28,156,200"
87,Po.et,POE,po.et,https://coinmarketcap.com/currencies/po.et/,"$27,216,400"
88,Genaro Network,GNX,genaro-network,https://coinmarketcap.com/currencies/genaro-network/,"$26,940,100"
89,BCAP,BCAP,bcap,https://coinmarketcap.com/currencies/bcap/,"$26,848,000"
90,Credits,CS,credits,https://coinmarketcap.com/currencies/credits/,"$26,727,900"
91,Streamr DATAcoin,DATA,streamr-datacoin,https://coinmarketcap.com/currencies/streamr-datacoin/,"$26,590,600"
92,Edgeless,EDG,edgeless,https://coinmarketcap.com/currencies/edgeless/,"$26,103,800"
93,SONM,SNM,sonm,https://coinmarketcap.com/currencies/sonm/,"$26,055,400"
94,Quantstamp,QSP,quantstamp,https://coinmarketcap.com/currencies/quantstamp/,"$25,956,100"
95,Ruff,RUFF,ruff,https://coinmarketcap.com/currencies/ruff/,"$25,850,700"
96,Revain,R,revain,https://coinmarketcap.com/currencies/revain/,"$25,499,600"
