,ERC-20 Token,Ticker,Look Up Name,CoinMarketCap URL,Market Cap (2018-08-05)
69,Nucleus Vision,NCASH,nucleus-vision,https://coinmarketcap.com/currencies/nucleus-vision/,"$41,743,900"
70,Bluzelle,BLZ,bluzelle,https://coinmarketcap.com/currencies/bluzelle/,"$41,248,300"
71,Time New Bank,TNB,time-new-bank,https://coinmarketcap.com/currencies/time-new-bank/,"$40,598,600"
72,Cube,AUTO,cube,https://coinmarketcap.com/currencies/cube/,"$38,342,800"
73,CoinDash,CDT,coindash,https://coinmarketcap.com/currencies/coindash/,"$38,011,300"
74,SingularityNET,AGI,singularitynet,https://coinmarketcap.com/currencies/singularitynet/,"$37,918,000"
75,Enjin Coin,ENJ,enjin-coin,https://coinmarketcap.com/currencies/enjin-coin/,"$37,900,800"
76,Simple Token,OST,simple-token,https://coinmarketcap.com/currencies/simple-token/,"$37,768,700"
77,C20,C20,c20,https://coinmarketcap.com/currencies/c20/,"$36,966,400"
78,Bottos,BTO,bottos,https://coinmarketcap.com/currencies/bottos/,"$35,571,000"
79,MediShares,MDS,medishares,https://coinmarketcap.com/currencies/medishares/,"$35,514,200"
80,iExec RLC,RLC,iexec-rlc,https://coinmarketcap.com/currencies/iexec-rlc/,"$35,491,100"
81,Request Network,REQ,request-network,https://coinmarketcap.com/currencies/request-network/,"$35,102,500"
82,SmartMesh,SMT,smartmesh,https://coinmarketcap.com/currencies/smartmesh/,"$34,496,700"
83,Cindicator,CND,cindicator,https://coinmarketcap.com/currencies/cindicator/,"$32,834,200"
84,DEW,DEW,dew,https://coinmarketcap.com/currencies/dew/,"$32,441,700"
85,Po.et,POE,po.et,https://coinmarketcap.com/currencies/po.et/,"$32,196,000"
86,Streamr DATAcoin,DATA,streamr-datacoin,https://coinmarketcap.com/currencies/streamr-datacoin/,"$31,762,600"
87,Credits,CS,credits,https://coinmarketcap.com/currencies/credits/,"$31,043,700"
88,Quantstamp,QSP,quantstamp,https://coinmarketcap.com/currencies/quantstamp/,"$30,928,200"
89,SONM,SNM,sonm,https://coinmarketcap.com/currencies/sonm/,"$30,488,800"
90,Edgeless,EDG,edgeless,https://coinmarketcap.com/currencies/edgeless/,"$29,723,600"
91,Bread,BRD,bread,https://coinmarketcap.com/currencies/bread/,"$29,450,500"
92,Revain,R,revain,https://coinmarketcap.com/currencies/revain/,"$29,242,800"
93,Ruff,RUFF,ruff,https://coinmarketcap.com/currencies/ruff/,"$28,755,700"
94,BLOCKv,VEE,blockv,https://coinmarketcap.com/currencies/blockv/,"$28,475,500"
95,Genaro Network,GNX,genaro-network,https://coinmarketcap.com/currencies/genaro-network/,"$27,492,200"
96,BCAP,BCAP,bcap,https://coinmarketcap.com/currencies/bcap/,"$26,848,000"
97,Rock,RKT,rock,https://coinmarketcap.com/currencies/rock/,"$26,294,500"
98,Arcblock,ABT,arcblock,https://coinmarketcap.com/currencies/arcblock/,"$25,926,900"
99,SophiaTX,SPHTX,sophiatx,https://coinmarketcap.com/currencies/sophiatx/,"$25,420,000"
100,Odyssey,OCN,odyssey,https://coinmarketcap.com/currencies/odyssey/,"$25,077,900"
101,SIRIN LABS Token,SRN,sirin-labs-token,https://coinmarketcap.com/currencies/sirin-labs-token/,"$24,847,500"
102,Amber,AMB,amber,https://coinmarketcap.com/currencies/amber/,"$24,795,000"
103,Metal,MTL,metal,https://coinmarketcap.com/currencies/metal/,"$24,698,900"
104,Pillar,PLR,pillar,https://coinmarketcap.com/currencies/pillar/,"$24,395,600"
105,Genesis Vision,GVT,genesis-vision,https://coinmarketcap.com/currencies/genesis-vision/,"$23,493,900"
106,Dent,DENT,dent,https://coinmarketcap.com/currencies/dent/,"$23,282,400"
107,Trade Token,TIO,trade-token,https://coinmarketcap.com/currencies/trade-token/,"$22,936,600"
108,Eidoo,EDO,eidoo,https://coinmarketcap.com/currencies/eidoo/,"$22,746,100"
109,U.CASH,UCASH,u.cash,https://coinmarketcap.com/currencies/u.cash/,"$22,583,100"
110,Selfkey,KEY,selfkey,https://coinmarketcap.com/currencies/selfkey/,"$22,526,200"
111,NAGA,NGC,naga,https://coinmarketcap.com/currencies/naga/,"$22,315,900"
112,AdEx,ADX,adex,https://coinmarketcap.com/currencies/adex/,"$22,033,200"
113,Jibrel Network,JNT,jibrel-network,https://coinmarketcap.com/currencies/jibrel-network/,"$21,881,700"
114,EthLend,LEND,ethlend,https://coinmarketcap.com/currencies/ethlend/,"$21,568,600"
115,EDUCare,EKT,educare,https://coinmarketcap.com/currencies/educare/,"$20,996,800"
116,CPChain,CPC,cpchain,https://coinmarketcap.com/currencies/cpchain/,"$20,536,400"
117,Telcoin,TEL,telcoin,https://coinmarketcap.com/currencies/telcoin/,"$20,531,200"
118,IoT Chain,ITC,iot-chain,https://coinmarketcap.com/currencies/iot-chain/,"$19,948,100"
119,Soarcoin,SOAR,soarcoin,https://coinmarketcap.com/currencies/soarcoin/,"$19,053,000"
120,district0x,DNT,district0x,https://coinmarketcap.com/currencies/district0x/,"$19,014,800"
121,All Sports,SOC,all-sports,https://coinmarketcap.com/currencies/all-sports/,"$18,895,800"
122,SpankChain,SPANK,spankchain,https://coinmarketcap.com/currencies/spankchain/,"$18,324,800"
123,Universa,UTNP,universa,https://coinmarketcap.com/currencies/universa/,"$18,036,500"
124,OriginTrail,TRAC,origintrail,https://coinmarketcap.com/currencies/origintrail/,"$17,884,700"
125,ATN,ATN,atn,https://coinmarketcap.com/currencies/atn/,"$17,675,900"
126,Lympo,LYM,lympo,https://coinmarketcap.com/currencies/lympo/,"$17,359,100"
127,DATA,DTA,data,https://coinmarketcap.com/currencies/data/,"$16,891,500"
128,PayPie,PPP,paypie,https://coinmarketcap.com/currencies/paypie/,"$16,655,500"
129,SingularDTV,SNGLS,singulardtv,https://coinmarketcap.com/currencies/singulardtv/,"$16,599,500"
130,Refereum,RFR,refereum,https://coinmarketcap.com/currencies/refereum/,"$16,550,800"
131,Covesting,COV,covesting,https://coinmarketcap.com/currencies/covesting/,"$16,437,000"
132,AirSwap,AST,airswap,https://coinmarketcap.com/currencies/airswap/,"$16,295,600"
133,Mothership,MSP,mothership,https://coinmarketcap.com/currencies/mothership/,"$16,176,100"
134,TokenClub,TCT,tokenclub,https://coinmarketcap.com/currencies/tokenclub/,"$15,678,200"
135,TokenCard,TKN,tokencard,https://coinmarketcap.com/currencies/tokencard/,"$15,572,600"
136,Delphy,DPY,delphy,https://coinmarketcap.com/currencies/delphy/,"$15,383,700"
137,Cobinhood,COB,cobinhood,https://coinmarketcap.com/currencies/cobinhood/,"$15,322,400"
138,Presearch,PRE,presearch,https://coinmarketcap.com/currencies/presearch/,"$15,246,700"
139,AppCoins,APPC,appcoins,https://coinmarketcap.com/currencies/appcoins/,"$15,154,000"
